mva,Type,processed_date,result
060702795,Glass,2026-08-12,checkpointed
061031482,Glass,2026-08-12,checkpointed
060432831,Glass,2026-08-12,checkpointed
060318576,Glass,2026-08-12,checkpointed
052019881,Glass,2026-08-12,checkpointed
061063833,Glass,2026-08-12,not_found
059049410,Glass,2026-08-12,not_found
059415915,Glass,2026-08-12,not_found
061686973,Glass,2026-08-12,not_found
061305834,Glass,2026-08-12,not_found
060053066,Glass,2026-08-12,not_found
060725431,Glass,2026-08-12,not_found
059430523,Glass,2026-08-12,not_found
061319753,Glass,2026-08-12,not_found
056678344,Glass,2026-08-12,not_found
060333475,Glass,2026-08-12,not_found
059517474,Glass,2026-08-12,not_found
058858494,Glass,2026-08-12,not_found
059472335,Glass,2026-08-12,not_found
061360854,Glass,2026-08-12,not_found
054550602,Glass,2026-08-12,not_found
059002215,Glass,2026-08-12,not_found
060093375,Glass,2026-08-12,not_found
061093384,Glass,2026-08-12,not_found
058552222,Glass,2026-08-12,not_found
054842874,Glass,2026-08-12,not_found
059560546,Glass,2026-08-12,not_found
060230715,Glass,2026-08-12,not_found
058861235,Glass,2026-08-12,not_found
059336233,Glass,2026-08-12,not_found
060148373,Glass,2026-08-12,not_found
058614522,Glass,2026-08-12,not_found
060599162,Glass,2026-08-12,not_found
056619371,Glass,2026-08-12,not_found
050090342,Glass,2026-08-12,not_found
060382092,Glass,2026-08-12,not_found
055863205,Glass,2026-08-12,not_found
059754505,Glass,2026-08-12,not_found
059415856,Glass,2026-08-12,not_found
060338762,Glass,2026-08-12,not_found
059538522,Glass,2026-08-13,not_found
059804264,Glass,2026-08-13,not_found
036928710,Glass,2026-08-13,not_found
060567032,Glass,2026-08-13,not_found
059138660,Glass,2026-08-13,not_found
060217706,Glass,2026-08-13,not_found
059646996,Glass,2026-08-13,not_found
060111192,Glass,2026-08-13,not_found
060091511,Glass,2026-08-13,not_found
057950410,Glass,2026-08-13,not_found
061648064,Glass,2026-08-13,not_found
061563821,Glass,2026-08-13,not_found
056663132,Glass,2026-08-13,not_found
061750474,Glass,2026-08-13,not_found
056207093,Glass,2026-08-13,not_found
059975252,Glass,2026-08-13,not_found
059733310,Glass,2026-08-13,not_found
060333571,Glass,2026-08-13,not_found
060141432,Glass,2026-08-13,not_found
059192781,Glass,2026-08-13,not_found
055975721,Glass,2026-08-13,not_found
059287583,Glass,2026-08-13,not_found
059106401,Glass,2026-08-13,not_found
059037075,Glass,2026-08-13,not_found
057487242,Glass,2026-08-13,not_found
060078664,Glass,2026-08-13,not_found
061668865,Glass,2026-08-13,not_found
057496106,Glass,2026-08-13,not_found
054019954,Glass,2026-08-13,not_found
060323141,Glass,2026-08-13,not_found
059927501,Glass,2026-08-13,not_found
060566461,Glass,2026-08-13,not_found
057732570,Glass,2026-08-13,not_found
060435756,Glass,2026-08-13,not_found
060926191,Glass,2026-08-13,not_found
061894825,Glass,2026-08-13,not_found
060073440,Glass,2026-08-13,not_found
059833270,Glass,2026-08-13,not_found
060255031,Glass,2026-08-13,not_found
057356154,Glass,2026-08-13,not_found
057935706,Glass,2026-08-13,not_found
060664483,Glass,2026-08-13,not_found
058688265,Glass,2026-08-13,not_found
059511082,Glass,2026-08-13,closed
059039820,Glass,2026-08-13,not_found
059074680,Glass,2026-08-13,not_found
056493382,Glass,2026-08-14,closed
060364986,Glass,2026-08-14,not_found
050106803,Glass,2026-08-14,closed
054290095,Glass,2026-08-14,not_found
060667891,Glass,2026-08-14,not_found
062143723,Glass,2026-08-14,not_found
058614393,Glass,2026-08-14,not_found
061043780,Glass,2026-08-14,not_found
061338266,Glass,2026-08-14,not_found
061013923,Glass,2026-08-14,not_found
058481721,Glass,2026-08-14,not_found
059869143,Glass,2026-08-14,not_found
059074805,Glass,2026-08-14,not_found
050239770,Glass,2026-08-14,not_found
051369614,Glass,2026-08-14,not_found
059433430,Glass,2026-08-14,not_found
061401336,Glass,2026-08-14,not_found
060538240,Glass,2026-08-14,not_found
059141751,Glass,2026-08-14,not_found
059860533,Glass,2026-08-14,not_found
060238522,Glass,2026-08-14,not_found
060643030,Glass,2026-08-14,not_found
060664601,Glass,2026-08-14,not_found
058354483,Glass,2026-08-16,not_found
060622564,Glass,2026-08-16,not_found
050094170,Glass,2026-08-16,not_found
058166146,Glass,2026-08-16,not_found
059751543,Glass,2026-08-16,closed
057819145,Glass,2026-08-16,not_found
062021481,Glass,2026-08-16,not_found
061886790,Glass,2026-08-16,not_found
059360324,Glass,2026-08-16,not_found
053271363,Glass,2026-08-16,not_found
059473621,Glass,2026-08-16,not_found
058613494,Glass,2026-08-16,closed
061190021,Glass,2026-08-19,not_found
058911845,Glass,2026-08-19,not_found
060768293,Glass,2026-08-19,closed
061211920,Glass,2026-08-19,not_found
058688486,Glass,2026-08-19,not_found
059074492,Glass,2026-08-19,not_found
060045016,Glass,2026-08-19,not_found
057153482,Glass,2026-08-19,closed
062189750,Glass,2026-08-23,not_found
059789671,Glass,2026-08-24,not_found
060766160,Glass,2026-08-24,not_found
061353456,Glass,2026-08-24,not_found
062048626,Glass,2026-08-24,not_found
059268042,Glass,2026-08-24,not_found
061744550,Glass,2026-08-24,closed
061368742,Glass,2026-08-24,not_found
051003396,Glass,2026-08-24,not_found
061317244,Glass,2026-08-24,not_found
054036953,Glass,2026-08-24,not_found
053659756,Glass,2026-08-24,not_found
059753341,Glass,2026-08-24,not_found
051018796,Glass,2026-08-24,not_found
051018516,Glass,2026-08-24,not_found
058869263,Glass,2026-08-24,not_found
